lokanayaki||s,r1,m2,d2,n3,s.|s.,d2,m2,g3,r1,s|53
bhinnapaurali||s,m2,p,d1,n1,d1,s.|s.,n1,d1,p,m2,s|49
hejjajji||s,r1,g3,r1,m1,g3,m1,p,n1,d1,s.|s.,n1,d1,p,m1,g3,r1,s|13
vanishri||s,r3,g3,m2,n2,s.|s.,n2,m2,g3,r3,s|68
kancanamala||s,r1,g3,m2,p,n1,s.|s.,n1,p,m2,g3,r1,s|49
shuddhabillari||s,r1,m2,p,m2,d1,n3,s.|s.,n3,p,m2,g2,r1,s|45
alankari||s,g3,m2,d2,n3,d2,s.|s.,n3,d2,m2,g3,s|53
shahana||s,r2,g3,m1,p,m1,d2,n3,s.|s.,n3,d2,p,m1,g3,m1,g3,r2,s|29
jaya||s,g2,m2,p,d2,n2,s.|s.,n2,d2,p,m2,g2,s|46
velanadal||s,g2,p,n2,s.|s.,n2,d2,p,m2,g2,r2,s|58
alarata||s,r1,m1,d2,s.|s.,n3,d2,p,m1,g2,r1,s|11
sundarangi||s,r3,g3,p,d2,n2,s.|s.,n2,d2,p,g3,r3,s|34
shrivelavali||s,r2,m1,d2,n3,s.|s.,d2,p,m1,g2,r2,s|23
garvamanjari||s,g2,m2,p,d,s.|s.,n,d,m2,g2,r2,s|59
shrngaramurti||s,r2,g3,m2,p,n3,s.|s.,n3,d2,p,m2,g3,r2,s|65
kankanalankari||s,g3,p,d2,n2,s.|s.,n2,d2,p,m2,g3,r1,s|52
sukhila||s,r1,g2,m1,p,d1,s.|s.,n2,p,g2,s|8
ramamanjari||s,r2,m1,p,n2,s.|s.,d2,n2,p,m1,g2,m1,r2,s|22
rugmasandhini||s,r2,g3,r2,m1,p,d2,n3,s.|s.,d2,p,m1,g3,r2,s|29
hiranyalalita||s,r1,g2,r1,m1,p,d1,n2,s.|s.,d1,p,m1,g2,r1,s|8
shunacu||s,r2,m1,d2,s.|s.,n2,d2,p,m1,g3,r2,s|28
amudavalli||s,g2,m1,d2,s.|s.,n2,p,m1,r1,s|10
cammarakriya||s,r1,g3,d1,n3,s.|s.,n3,d1,p,r1,s|15
sahuli||s,g3,m1,p,n3,s.|s.,n3,d2,p,m1,g3,r1,s|17
kitimayura||s,g2,r2,g2,m1,n2,d2,n2,s.|s.,n2,p,m1,g2,r2,s|22
sarasuvati||s,r2,m2,p,d2,s.|s.,n2,d2,p,m2,r2,s|64
bilaval||s,g3,m1,p,d2,n2,s.|s.,n2,d2,p,m1,g3,s|28
shribindumalini||s,r1,g3,m1,p,n2,s.|s.,n2,d2,p,g3,r1,s|16
devishutikai||s,g3,m1,p,d2,n2,s.|s.,d2,m1,r2,s|28
ratipatipriya||s,r2,g2,p,n2,s.|s.,n2,p,g2,r2,s|20
kattanmai||s,g3,p,n2,s.|s.,d2,m1,g3,r1,s|16
bhadravahini||s,r3,m2,p,d1,n2,s.|s.,p,m2,g3,r3,s|68
hemakharaharapriya||s,r2,m1,p,n2,s.|s.,n2,p,m1,r2,s|22
